date,time,temperature,humidity,cloud_cover,wind_speed,wind_direction,precipitation,pressure,visibility,notes,photo_filename
2025-01-16,09:15,28.0,76.0,cloudy,15.6,SW,no,29.92,10.0,,weather_20250116_091532.jpg
2025-01-16,14:45,31.1,80.0,cloudy,15.6,SSW,no,29.88,10.0,,weather_20250116_144521.jpg
2025-01-16,20:30,27.1,92.0,cloudy,15.6,S,no,29.85,10.0,,weather_20250116_203012.jpg
2025-01-17,09:05,40.0,33.0,cloudy,17.4,SSW,no,29.88,12.0,,weather_20250117_090548.jpg
2025-01-17,15:13,60.5,68.0,partly,17.4,SSW,yes,29.86,9.6,,weather_20250117_152227.jpg
2025-01-17,21:51,49.3,81.0,cloudy,17.4,SSW,yes,29.84,10.0,,weather_20250117_215306.jpg
2025-01-18,09:23,30.0,88.0,cloudy,15.2,WNW,yes,29.76,6.8,,weather_20250118_0123448.jpg
2025-01-18,14:45,43.8,97.0,cloudy,15.2,WNW,yes,29.78,6.8,,weather_20250118_144515.jpg
2025-01-18,09:23,46.0,97.0,cloudy,2.0,WNW,no,29.76,9.0,,weather_20250118_092948.jpg
2025-01-19,14:37,29.0,61.0,partly,8.0,NW,no,30.1,10.0,,weather_20250119_143715.jpg
